,Exchange ticker
0,500820
1,532215
2,532977
3,500034
4,532454
5,532281
6,500180
7,500182
8,500696
9,500010
10,532174
11,532187
12,500209
13,500875
14,500247
15,500510
16,500520
17,532500
18,500790
19,532555
20,500312
21,532898
22,500325
23,500112
24,524715
25,532540
26,500470
27,532755
28,500114
29,532538
